name,repo,category,fit,license,evidence,summary,useful_for,limitation,source_urls
OpenHands,All-Hands-AI/OpenHands,coding agent platform,shortlist,MIT,README and license file fetched from GitHub API; repository metadata checked.,"Agent server, workspaces, conversations, events and browser/code execution.",Durable project run lifecycle and event-oriented UI.,Large full-stack control plane; do not import wholesale.,https://github.com/All-Hands-AI/OpenHands | https://github.com/All-Hands-AI/OpenHands/blob/main/README.md | https://github.com/All-Hands-AI/OpenHands/blob/main/LICENSE
Codex CLI,openai/codex,coding agent,shortlist,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,Open-source terminal coding agent with local workspace and tool execution.,"Terminal UX, approvals and coding-agent interaction patterns.",Provider-specific product and terminal-centric surface.,https://github.com/openai/codex | https://github.com/openai/codex/blob/main/README.md | https://github.com/openai/codex/blob/main/LICENSE
Claude Code,anthropics/claude-code,coding agent,reference,source-available/no repository license observed,README and license file fetched from GitHub API; repository metadata checked.,Anthropic CLI repository and documentation for agentic coding.,"Reference UX for task planning, skills and terminal workflows.",Repository has no observed OSS license; do not copy source.,https://github.com/anthropics/claude-code | https://github.com/anthropics/claude-code/blob/main/README.md
OpenCode,anomalyco/opencode,coding agent,shortlist,MIT,README and license file fetched from GitHub API; repository metadata checked.,Open-source terminal and desktop coding agent.,Lean local coding-agent UX and provider routing ideas.,"Coding focus, not a device assistant.",https://github.com/anomalyco/opencode | https://github.com/anomalyco/opencode/blob/dev/README.md | https://github.com/anomalyco/opencode/blob/dev/LICENSE
Cline,cline/cline,IDE coding agent,consider,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,VS Code extension that plans and executes coding tasks with tools.,"Permission prompts, checkpoints and IDE agent interaction.",Tied to extension-host constraints.,https://github.com/cline/cline | https://github.com/cline/cline/blob/main/README.md | https://github.com/cline/cline/blob/main/LICENSE
Roo Code,RooCodeInc/Roo-Code,IDE coding agent,consider,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,Multi-mode VS Code coding agent extension.,"Modes, task delegation and human-visible plan patterns.",IDE plugin architecture is not a desktop harness.,https://github.com/RooCodeInc/Roo-Code | https://github.com/RooCodeInc/Roo-Code/blob/main/README.md | https://github.com/RooCodeInc/Roo-Code/blob/main/LICENSE
Aider,Aider-AI/aider,terminal coding assistant,consider,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,Terminal pair-programming agent with git-aware edits.,Git-aware editing and concise terminal interaction.,No desktop/voice orchestration.,https://github.com/Aider-AI/aider | https://github.com/Aider-AI/aider/blob/main/README.md | https://github.com/Aider-AI/aider/blob/main/LICENSE
Continue,continuedev/continue,IDE/CLI coding assistant,consider,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,Open-source coding assistant spanning IDE and CLI integrations.,Model/provider configuration and developer workflow UX.,Primarily coding assistance.,https://github.com/continuedev/continue | https://github.com/continuedev/continue/blob/main/README.md | https://github.com/continuedev/continue/blob/main/LICENSE
Plandex,plandex-ai/plandex,terminal coding agent,consider,MIT,README and license file fetched from GitHub API; repository metadata checked.,Terminal coding agent designed for larger tasks and planning.,Long-task planning and context management references.,Repository activity is older than the main shortlists.,https://github.com/plandex-ai/plandex | https://github.com/plandex-ai/plandex/blob/main/README.md | https://github.com/plandex-ai/plandex/blob/main/LICENSE
Goose,aaif-goose/goose,agent runtime,shortlist,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,"Local Rust agent with CLI, desktop application, extensions and MCP support.","Permission store, session management and MCP/ACP boundaries.","It is a complete agent host; reuse patterns, not its control plane.",https://github.com/aaif-goose/goose | https://github.com/aaif-goose/goose/blob/main/README.md | https://github.com/aaif-goose/goose/blob/main/LICENSE
Vibe Kanban,BloopAI/vibe-kanban,coding-agent orchestrator,shortlist,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,Kanban interface for running coding agents such as Codex and Claude Code.,"Project queue, task status and concurrent-agent workspace UX.",Depends on external coding agents; not a device driver.,https://github.com/BloopAI/vibe-kanban | https://github.com/BloopAI/vibe-kanban/blob/main/README.md | https://github.com/BloopAI/vibe-kanban/blob/main/LICENSE
Open Interpreter,openinterpreter/openinterpreter,local computer agent,consider,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,Local agent that runs code and uses a computer through a workstation-oriented product.,Local-first computer-agent product boundaries.,Current README positions it around coding/open models; verify platform drivers before adoption.,https://github.com/openinterpreter/openinterpreter | https://github.com/openinterpreter/openinterpreter/blob/main/README.md | https://github.com/openinterpreter/openinterpreter/blob/main/LICENSE
Browser Use,browser-use/browser-use,browser-use library,shortlist,MIT,README and license file fetched from GitHub API; repository metadata checked.,Python library for browser automation agents.,Browser execution substrate and browser-focused evaluation.,"Browser only, not native desktop control.",https://github.com/browser-use/browser-use | https://github.com/browser-use/browser-use/blob/main/README.md | https://github.com/browser-use/browser-use/blob/main/LICENSE
Stagehand,browserbase/stagehand,browser automation SDK,shortlist,MIT,README and license file fetched from GitHub API; repository metadata checked.,Browser automation SDK combining Playwright-style control with AI actions.,Typed browser automation and deterministic fallbacks.,Browser only; hosted Browserbase features may be separate.,https://github.com/browserbase/stagehand | https://github.com/browserbase/stagehand/blob/main/README.md | https://github.com/browserbase/stagehand/blob/main/LICENSE
Agent S,simular-ai/Agent-S,desktop computer-use research,shortlist,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,Agent framework for operating desktop environments.,Planner-grounder split and desktop-agent evaluation design.,Research architecture needs product hardening and OS-driver verification.,https://github.com/simular-ai/Agent-S | https://github.com/simular-ai/Agent-S/blob/main/README.md | https://github.com/simular-ai/Agent-S/blob/main/LICENSE
UI-TARS Desktop,bytedance/UI-TARS-desktop,desktop computer-use app,reference,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,Desktop agent application based on UI-TARS models.,Computer-use UX and action trace references.,"Electron application, so not a shell replacement; model/runtime dependencies.",https://github.com/bytedance/UI-TARS-desktop | https://github.com/bytedance/UI-TARS-desktop/blob/main/README.md | https://github.com/bytedance/UI-TARS-desktop/blob/main/LICENSE
UFO,microsoft/UFO,Windows OS agent,shortlist,MIT,README and license file fetched from GitHub API; repository metadata checked.,Windows UI automation agent using UIA and multi-agent orchestration.,Windows automation adapters and DAG/resource management concepts.,Windows-specific research code.,https://github.com/microsoft/UFO | https://github.com/microsoft/UFO/blob/main/README.md | https://github.com/microsoft/UFO/blob/main/LICENSE
OS-Copilot,OS-Copilot/OS-Copilot,OS assistant research,reference,MIT,README and license file fetched from GitHub API; repository metadata checked.,Conversational embodied OS agent for daily task automation.,Task decomposition and OS-assistant research patterns.,Research project with uncertain maintenance and production safety.,https://github.com/OS-Copilot/OS-Copilot | https://github.com/OS-Copilot/OS-Copilot/blob/main/README.md | https://github.com/OS-Copilot/OS-Copilot/blob/main/LICENSE
The Agent Company,TheAgentCompany/TheAgentCompany,agent benchmark,consider,MIT,README and license file fetched from GitHub API; repository metadata checked.,Simulated software-company benchmark for long-horizon agents.,Evaluation tasks for project-level autonomy.,"Benchmark, not an end-user agent runtime.",https://github.com/TheAgentCompany/TheAgentCompany | https://github.com/TheAgentCompany/TheAgentCompany/blob/main/README.md | https://github.com/TheAgentCompany/TheAgentCompany/blob/main/LICENSE
Skyvern,Skyvern-AI/skyvern,browser workflow agent,consider,AGPL-3.0,README and license file fetched from GitHub API; repository metadata checked.,Browser workflow automation with visual reasoning.,Structured browser workflow reliability and verification.,AGPL obligations; browser scope only.,https://github.com/Skyvern-AI/skyvern | https://github.com/Skyvern-AI/skyvern/blob/main/README.md | https://github.com/Skyvern-AI/skyvern/blob/main/LICENSE
OpenAdapt,OpenAdaptAI/OpenAdapt,GUI task compiler,consider,MIT,README and license file fetched from GitHub API; repository metadata checked.,Compiles demonstrated GUI tasks into programs with independent verification.,Demonstration-to-automation and verification-first patterns.,"A task compiler, not conversational device control.",https://github.com/OpenAdaptAI/OpenAdapt | https://github.com/OpenAdaptAI/OpenAdapt/blob/main/README.md | https://github.com/OpenAdaptAI/OpenAdapt/blob/main/LICENSE
LaVague,lavague-ai/LaVague,browser automation agent,reference,Apache-2.0,README and license file fetched from GitHub API; repository metadata checked.,Open-source browser automation agents.,Web-agent workflows and evaluation ideas.,Last observed push is older; browser only.,https://github.com/lavague-ai/LaVague | https://github.com/lavague-ai/LaVague/blob/main/README.md | https://github.com/lavague-ai/LaVague/blob/main/LICENSE
